_time,occupancy,temperature
2025-04-14 04:35:00+00:00,0,19.03
2025-04-14 05:25:00+00:00,1,23.18
2025-04-14 05:25:00+00:00,1,19.06
2025-04-14 05:25:00+00:00,1,19.87
2025-04-14 05:40:00+00:00,0,19.83
2025-04-14 05:55:00+00:00,1,19.81
2025-04-14 06:35:00+00:00,1,19.244999999999997
2025-04-14 06:40:00+00:00,0,19.43
2025-04-14 06:40:00+00:00,0,19.935
2025-04-14 06:50:00+00:00,1,23.275
2025-04-14 06:50:00+00:00,1,19.43
2025-04-14 06:50:00+00:00,1,20.06
2025-04-14 06:55:00+00:00,1,23.37
2025-04-14 07:35:00+00:00,1,19.65
2025-04-14 07:40:00+00:00,1,20.244999999999997
2025-04-14 07:45:00+00:00,1,20.43
2025-04-14 07:50:00+00:00,1,23.435000000000002
2025-04-14 07:55:00+00:00,1,23.5
2025-04-14 08:40:00+00:00,0,20.683333333333334
2025-04-14 08:50:00+00:00,1,23.53
2025-04-14 08:50:00+00:00,1,20.31
2025-04-14 08:50:00+00:00,1,20.81
2025-04-14 09:00:00+00:00,1,23.56
2025-04-14 09:40:00+00:00,0,20.936666666666667
2025-04-14 09:50:00+00:00,0,23.53
2025-04-14 10:40:00+00:00,0,21.080000000000002
2025-04-14 10:50:00+00:00,0,23.435000000000002
2025-04-14 11:40:00+00:00,0,21.246666666666666
2025-04-14 11:50:00+00:00,0,23.34
2025-04-14 12:40:00+00:00,0,20.775
2025-04-14 12:40:00+00:00,0,21.436666666666667
2025-04-14 13:40:00+00:00,0,20.965
2025-04-14 13:50:00+00:00,0,23.4
2025-04-14 14:40:00+00:00,0,21.03
2025-04-14 14:45:00+00:00,0,21.81
2025-04-14 14:50:00+00:00,0,23.41
2025-04-14 15:40:00+00:00,0,21.889999999999997
2025-04-14 17:40:00+00:00,0,21.89
2025-04-14 17:45:00+00:00,0,21.87
2025-04-14 18:40:00+00:00,0,21.66333333333333
2025-04-14 18:50:00+00:00,0,23.28
2025-04-14 19:40:00+00:00,0,20.09
2025-04-14 19:40:00+00:00,0,21.369999999999997
2025-04-14 20:40:00+00:00,0,19.655
2025-04-14 21:40:00+00:00,0,19.405
2025-04-14 21:50:00+00:00,0,23.215
2025-04-14 22:40:00+00:00,0,20.369999999999997
2025-04-14 23:40:00+00:00,0,20.185
2025-04-15 00:05:00+00:00,0,23.14
2025-04-15 00:40:00+00:00,0,18.935000000000002
2025-04-15 00:40:00+00:00,0,19.965
2025-04-15 00:45:00+00:00,0,18.87
2025-04-15 01:05:00+00:00,0,23.09
2025-04-15 02:05:00+00:00,0,23.03
2025-04-15 02:10:00+00:00,0,23.0
2025-04-15 02:40:00+00:00,0,18.775
2025-04-15 02:40:00+00:00,0,19.663333333333338
2025-04-15 03:40:00+00:00,0,19.59
2025-04-15 04:05:00+00:00,0,23.080000000000002
2025-04-15 04:40:00+00:00,0,18.59
2025-04-15 04:40:00+00:00,0,19.494999999999997
2025-04-15 04:45:00+00:00,0,18.56
2025-04-15 05:40:00+00:00,0,18.53
2025-04-15 05:40:00+00:00,0,19.369999999999997
2025-04-15 05:45:00+00:00,0,18.5
2025-04-15 06:05:00+00:00,0,23.060000000000002
2025-04-15 06:40:00+00:00,0,18.560000000000002
2025-04-15 07:05:00+00:00,0,22.953333333333333
2025-04-15 07:10:00+00:00,0,22.93
